MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
1220.74	1220.74	1192.1	1186.3339844	2221.5285645
1220.8900146	1220.8900146	1192.25	1186.4689941	2223.491211
1221.040039	1221.040039	1192.4	1186.606079	2188.688721
1221.1899414	1221.1899414	1192.5499268	1186.7419434	2206.0913086
1221.49	1221.49	1192.8499756	1187.0140381	2205.9526367
1221.6400146	1221.6400146	1193	1187.147949	2239.31665
1221.790039	1221.790039	1193.1500244	1187.2810059	2255.369141
1221.9399414	1221.9399414	1193.3	1187.4140625	2253.5339355
1222.0899658	1222.0899658	1193.4499512	1187.546021	2273.7055664
1222.24	1222.24	1193.6	1187.6790771	2255.369141
1222.6899414	1222.6899414	1194.0499268	1188.0739746	2278.5776367
1222.8399658	1222.8399658	1194.2	1188.2041016	2307.050293
1222.99	1222.99	1194.3499756	1188.3339844	2309.1669922
1223.1400146	1223.1400146	1194.5	1188.4630127	2326.2402344
1223.5899658	1223.5899658	1194.9499512	1188.8540039	2301.5024414
1223.74	1223.74	1195.1	1188.9849854	2290.2565918
1223.8900146	1223.8900146	1195.25	1189.1169434	2273.7055664
1224.040039	1224.040039	1195.4	1189.2490234	2271.65332
1224.1899414	1224.1899414	1195.5499268	1189.381958	2255.5551758
1224.6400146	1224.6400146	1196	1189.780029	2261.4482422
1224.790039	1224.790039	1196.1500244	1189.9119873	2273.7055664
1224.9399414	1224.9399414	1196.3	1190.0440674	2269.8049316
1225.0899658	1225.0899658	1196.4499512	1190.1760254	2273.7055664
1225.24	1225.24	1196.6	1190.309082	2255.369141
1225.3900146	1225.3900146	1196.75	1190.44397	2223.491211
1225.540039	1225.540039	1196.9	1190.5809326	2190.5935059
1225.6899414	1225.6899414	1197.0499268	1190.717041	2204.1577148
1225.8399658	1225.8399658	1197.2	1190.8509521	2239.31665
1226.1400146	1226.1400146	1197.5	1191.1230469	2205.9526367
1226.290039	1226.290039	1197.6500244	1191.26001	2190.5935059
1226.4399414	1226.4399414	1197.8	1191.3980713	2171.799561
1226.5899658	1226.5899658	1197.9499512	1191.5369873	2158.6552734
1226.74	1226.74	1198.1	1191.677002	2143.9455566
1226.8900146	1226.8900146	1198.25	1191.8170166	2142.12085
1227.040039	1227.040039	1198.4	1191.9580078	2129.4348145
1227.1899414	1227.1899414	1198.5499268	1192.099	2125.9035645
1227.6400146	1227.6400146	1199	1192.5220947	2127.6347656
1227.790039	1227.790039	1199.1500244	1192.6619873	2143.9455566
1227.9399414	1227.9399414	1199.3	1192.8	2171.799561
1228.0899658	1228.0899658	1199.4499512	1192.9379883	2175.4467773
1228.3900146	1228.3900146	1199.75	1193.2141113	2173.5681152
1228.540039	1228.540039	1199.9	1193.3530273	2158.6552734
1228.6899414	1228.6899414	1200.0499268	1193.4920654	2156.8986816
1228.8399658	1228.8399658	1200.2	1193.63	2175.4467773
1228.99	1228.99	1200.3499756	1193.7650146	2221.5285645
1229.1400146	1229.1400146	1200.5	1193.9	2223.491211
